store,week,unibranddff,upc,descripdff,size,reprice,resales,move,sale,prom,whprice,qty
94,338,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,28.5,10,,0,1.76016,1
133,398,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.1900001,10.95,5,,0,1.710171,1
133,395,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,11.56,4,,0,1.9941,1
133,393,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,20.23,7,,0,2.0357161,1
95,306,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,50.830002,17,,0,1.464203,1
95,307,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,11.96,4,,0,1.462708,1
54,296,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,5.6999998,2,,0,1.460055,1
133,388,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,23.120001,8,,0,2.0990069,1
133,387,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,23.120001,8,,0,2.0990069,1
133,386,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,23.120001,8,,0,2.0990069,1
40,314,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,2.8499999,1,,0,1.460055,1
133,382,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,31.790001,11,,0,1.928208,1
133,381,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,43.349998,15,,0,1.928208,1
113,396,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,23.120001,8,,0,1.887748,1
72,378,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,18.299999,6,,0,2.10023,1
95,313,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,11.96,4,,0,1.460017,1
133,368,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6800001,16.08,6,B,1,1.650076,1
40,311,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.01,28.139999,14,,0,1.4564461,1
40,304,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,45.73,17,,0,1.584141,1
100,320,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,38.869999,13,,0,1.041118,1
133,356,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.1900001,100.74,46,B,1,1.9491,1
95,333,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,8.6700001,3,B,1,1.5276541,1
133,352,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.5,17.5,7,B,1,1.949,1
80,366,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,31.35,11,,0,1.8730201,1
59,303,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.89,18.9,10,B,1,1.7193331,1
133,349,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.45,1983.6,1368,G,1,1.597755,1
95,342,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.77,30.469999,11,B,1,1.75895,1
133,345,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,280.59,141,B,1,1.760155,1
133,337,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,37.049999,13,,0,1.76016,1
133,336,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,48.450001,17,,0,1.76016,1
133,328,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,28.5,10,,0,1.66383,1
123,315,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3099999,50.82,22,S,1,1.4559931,1
40,292,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3499999,18.799999,8,,0,1.498125,1
95,348,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.03,326.82999,161,,0,1.9213949,1
133,321,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.34,8.04,6,,0,0.87381399,1
133,315,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.5,235,94,S,1,1.46,1
95,354,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,979.08002,492,S,1,1.64573,1
133,310,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.42,2771.8401,1952,S,1,1.458482,1
133,306,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,57,20,,0,1.464045,1
95,358,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,50.830002,17,,0,1.464203,1
133,305,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.71,108.4,40,B,1,1.581827,1
133,301,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,1201.96,604,B,1,1.75319,1
133,297,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,71.25,25,,0,1.0203,1
133,291,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,80.699997,30,,0,1.5602,1
12,298,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.5,2283,1522,,0,0.972,1
95,366,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6099999,26.1,10,B,1,1.7870671,1
129,377,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8699999,5.7399998,2,,0,1.725157,1
95,377,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,17.1,6,,0,1.722255,1
95,380,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,9.1499996,3,,0,1.97823,1
133,279,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.26,15.82,7,B,1,1.5591739,1
133,278,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.6900001,119.99,71,B,1,1.335269,1
95,383,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,12.2,4,,0,1.95444,1
95,389,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,9.1499996,3,,0,2.09901,1
92,326,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,11.4,4,,0,1.909215,1
101,295,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.75,44,16,,0,1.472075,1
95,392,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,3.05,1,,0,2.09901,1
101,285,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.1500001,90.300003,42,,0,1.55531,1
2,314,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,32.889999,11,,0,1.460017,1
95,396,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,15.25,5,,0,1.8239,1
95,397,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6199999,5.2399998,2,B,1,1.7100739,1
91,308,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,11.4,4,,0,1.460055,1
103,282,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.89,9.4499998,5,,0,1.423359,1
132,390,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,14.45,5,,0,2.0990069,1
12,303,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.89,17.01,9,B,1,1.696842,1
132,397,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.1900001,8.7600002,4,B,1,1.710171,1
132,394,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,23.120001,8,,0,2.025023,1
109,294,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3800001,135.66,57,B,1,1.398012,1
132,388,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,5.7800002,2,,0,2.0990069,1
133,282,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.6900001,119.99,71,B,1,1.335269,1
139,279,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.49,62.580002,42,B,1,1.559881,1
51,369,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,8.5500002,3,,0,2.0001299,1
132,380,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,8.6700001,3,,0,1.928208,1
132,365,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,5.3800001,2,,0,2.0820601,1
73,316,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.9299999,472.85001,245,,0,1.579898,1
132,352,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.5,5,2,B,1,1.949,1
132,345,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.34,443.54001,331,B,1,1.749638,1
132,344,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.4200001,67.760002,28,B,1,1.7532901,1
101,318,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,0.99000001,36.630001,37,,0,1.58697,1
132,339,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,18.83,7,,0,1.417361,1
93,333,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,17.34,6,,0,1.6473,1
90,346,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,7.96,4,S,1,1.760155,1
68,368,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.71,18.969999,7,B,1,1.744698,1
51,345,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,11.94,6,B,1,1.760155,1
132,315,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.5,102.5,41,S,1,1.46,1
132,314,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,13.45,5,,0,1.460132,1
132,313,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.6900001,13.45,5,,0,1.460132,1
132,310,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.34,1855.9,1385,S,1,1.456714,1
132,303,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.89,32.130001,17,B,1,1.643733,1
132,287,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.99,63.68,32,B,1,1.56016,1
110,393,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,17.34,6,,0,2.025023,1
33,397,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3099999,16.17,7,B,1,1.708014,1
72,294,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3,220.8,96,B,1,1.39748,1
111,306,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,29.9,10,,0,1.4881231,1
12,306,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,56.810001,19,,0,1.470482,1
32,391,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,3.05,85.400002,28,,0,2.09901,1
54,381,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,28.9,10,,0,1.928208,1
121,338,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,34.200001,12,,0,1.76016,1
98,339,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8499999,25.65,9,,0,1.62678,1
71,343,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.3900001,52.580002,22,B,1,1.760235,1
119,390,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.8900001,11.56,4,,0,2.0990069,1
33,377,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.99,2.99,1,,0,1.500083,1
115,306,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,1.48,20.719999,14,,0,1.566728,1
131,397,FLDAGOLD,1110000518,FLORIDAGOLD PREM SEL,64 OZ,2.54,5.0799999,2,B,1,1.710182,1
